,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ
120,7,261,261,475.8999938964844,481.5407885742188,453.7595892333984,481.5407885742188,26.08139178955129,13.404170954589844,0.007829193445216733,2024-12-17 00:00:00-05:00,2024-12-17 00:00:00-05:00,0 days 00:00:00,,448.14798431396486,448.14798431396486
121,7,262,262,466.5,466.5,,498.6679733276367,-13.062,13.062,-0.004,2024-12-18 00:00:00-05:00,2024-12-18 00:00:00-05:00,0 days 00:00:00,,465.29599609375,465.29599609375
122,-7,263,263,451.8800048828125,451.8800048828125,,422.5248046875,-12.65264013671875,12.65264013671875,-0.004,2024-12-19 00:00:00-05:00,2024-12-19 00:00:00-05:00,0 days 00:00:00,,406.2885055541992,406.2885055541992
123,7,267,267,465.1600036621094,453.0343988037109,453.0343988037109,480.77119873046877,-97.73395564331061,12.854721634521484,-0.030015464686151374,2024-12-26 00:00:00-05:00,2024-12-26 00:00:00-05:00,0 days 00:00:00,,447.07800750732423,447.07800750732423
124,-8,269,270,419.3999938964844,414.39360351562493,440.2932037353516,414.39360351562493,26.710425488281796,13.34069755859375,0.007960904231341784,2024-12-30 00:00:00-05:00,2024-12-31 00:00:00-05:00,1 days 00:00:00,,418.73500366210936,411.2225036621094
125,-8,271,271,390.1000061035156,387.686396484375,411.91679626464844,387.686396484375,6.864294511718786,12.44458244140625,0.0021995303782107152,2025-01-02 00:00:00-05:00,2025-01-02 00:00:00-05:00,0 days 00:00:00,,389.875505065918,389.875505065918
126,-8,272,272,381.4800109863281,386.8655987548828,386.8655987548828,364.10879882812503,-55.37823190429675,12.293529755859375,-0.018145849818288873,2025-01-03 00:00:00-05:00,2025-01-03 00:00:00-05:00,0 days 00:00:00,,368.45049743652345,368.45049743652345
127,8,273,273,423.20001220703125,402.2312023925781,402.2312023925781,426.85760253906255,-180.95737794921897,13.20689943359375,-0.053449129468802384,2025-01-06 00:00:00-05:00,2025-01-06 00:00:00-05:00,0 days 00:00:00,,392.60350646972654,392.60350646972654
128,-8,275,275,392.95001220703125,402.24718505859374,402.24718505859374,378.5855859375,-87.10053796874995,12.72315515625,-0.027707257686398687,2025-01-08 00:00:00-05:00,2025-01-08 00:00:00-05:00,0 days 00:00:00,,380.9784927368164,380.9784927368164
129,7,280,280,423.489990234375,419.65560119628907,419.65560119628907,445.34880126953124,-38.64476154663081,11.804038280029298,-0.013036152797594876,2025-01-16 00:00:00-05:00,2025-01-16 00:00:00-05:00,0 days 00:00:00,,414.9430099487305,414.9430099487305
130,-8,281,281,421.5,421.5815055847168,421.5815055847168,398.29701080322263,-14.141348767089934,13.489304089355468,-0.0041937570483658515,2025-01-17 00:00:00-05:00,2025-01-17 00:00:00-05:00,0 days 00:00:00,,405.6415100097656,405.6415100097656
131,7,282,282,432.6400146484375,417.96999999999997,417.96999999999997,443.56000000000006,-114.59864274414083,11.908540205078125,-0.03784031555897031,2025-01-21 00:00:00-05:00,2025-01-21 00:00:00-05:00,0 days 00:00:00,,415.50550537109376,415.50550537109376
132,-10,287,288,396.9100036621094,385.4950119018555,402.9774848937988,385.4950119018555,98.50181729125954,15.648100311279297,0.02481716670842958,2025-01-28 00:00:00-05:00,2025-01-29 00:00:00-05:00,1 days 00:00:00,,387.4204925537109,390.34049835205076
133,-11,289,289,410.7799987792969,410.7799987792969,,378.8695236206055,-18.074319946289062,18.074319946289062,-0.004,2025-01-30 00:00:00-05:00,2025-01-30 00:00:00-05:00,0 days 00:00:00,,381.3395141601562,381.3395141601562
134,8,290,290,401.5299987792969,414.8794921875,392.9802520751953,414.8794921875,93.73339541015606,13.062551855468751,0.029180072377878914,2025-01-31 00:00:00-05:00,2025-01-31 00:00:00-05:00,0 days 00:00:00,,384.830500793457,384.830500793457
135,-8,292,292,382.6300048828125,391.35359252929686,391.35359252929686,368.33279296875,-82.17243873046864,12.38373755859375,-0.026844614144817126,2025-02-04 00:00:00-05:00,2025-02-04 00:00:00-05:00,0 days 00:00:00,,375.5344772338867,375.5344772338867
136,-8,294,295,373.0299987792969,363.043212890625,385.73341369628906,363.043212890625,68.11711572265625,11.77717138671875,0.022825615883964652,2025-02-06 00:00:00-05:00,2025-02-07 00:00:00-05:00,1 days 00:00:00,,371.09700469970704,367.59900665283203
