timestamp,long_size,short_size,total_size
2025-12-01 08:08:45.148738,165154.6306745,1694625.7354990202,1859780.36617352
2025-12-01 08:18:55.191529,206929.5834644,99108.0352865,306037.61875090003
2025-12-01 08:29:13.731236,348064.1047744,80848.584397,428912.6891714
2025-12-01 08:39:30.906814,1442078.6304376002,141759.4704775,1583838.1009151002
2025-12-01 08:49:41.081029,628133.9506417001,131658.0623468,759792.0129885001
2025-12-01 09:00:08.151198,421278.7697607,414617.06838141,835895.83814211
2025-12-01 09:10:34.398138,813617.0050169,664552.5536052999,1478169.5586222
2025-12-01 09:20:45.256743,741048.4318183999,122939.3602075,863987.7920259
2025-12-01 09:31:01.763010,235268.005854,417201.07597730006,652469.0818313
2025-12-01 09:41:20.163536,350914.5090777,1377564.2899386005,1728478.7990163
2025-12-01 09:51:30.220263,520654.8565114,653293.2966261,1173948.1531375
2025-12-01 10:01:40.157956,122927.85161389998,308867.66485039995,431795.51646429993
2025-12-01 10:11:57.523103,565116.189575,265744.1937427,830860.3833176999
2025-12-01 10:22:14.065410,1575136.50282765,311336.9419512,1886473.4447788496
2025-12-01 10:32:36.530300,4066496.4952193694,209913.71295130003,4276410.20817067
2025-12-01 10:42:53.170459,8348672.334251271,527853.59864917,8876525.93290044
2025-12-01 10:53:11.463714,3363699.26758125,1576280.0658204,4939979.33340165
2025-12-01 12:17:41.140632,5133246.724123503,4603209.925362581,9736456.649486084
2025-12-01 12:17:41.145856,5133246.724123503,4603209.925362581,9736456.649486084
2025-12-01 12:25:33.467507,6717351.705345805,3480847.979287321,10198199.684633126
2025-12-01 12:25:33.473803,6717351.705345805,3480847.979287321,10198199.684633126
2025-12-01 12:27:12.802085,7228729.715609015,4675960.547080628,11904690.262689644
2025-12-01 12:27:12.809431,7228729.715609015,4675960.547080628,11904690.262689644
2025-12-01 12:37:12.967704,6853061.790741658,3361169.280198374,10214231.070940033
2025-12-01 12:37:12.973169,6853061.790741658,3361169.280198374,10214231.070940033
2025-12-01 15:11:55.705970,30261.8626491174,11510.281854631232,41772.14450374864
2025-12-01 15:11:55.712824,30261.8626491174,11510.281854631232,41772.14450374864
2025-12-01 15:21:57.146516,31090.39648782032,13200.218144404493,44290.61463222481
2025-12-01 15:21:57.151686,31090.39648782032,13200.218144404493,44290.61463222481
2025-12-01 18:09:29.027803,31238.9087525107,17881.156232154408,49120.06498466511
2025-12-01 18:09:29.032583,31238.9087525107,17881.156232154408,49120.06498466511
2025-12-01 18:18:16.012650,13867.90161150983,20963.156365143623,34831.05797665346
2025-12-01 18:18:16.018409,13867.90161150983,20963.156365143623,34831.05797665346
2025-12-01 18:28:17.396254,21221.24778813081,16252.707249791778,37473.95503792259
2025-12-01 18:28:17.403561,21221.24778813081,16252.707249791778,37473.95503792259
2025-12-01 18:38:18.754403,24790.08922461741,15273.958079063274,40064.04730368069
2025-12-01 18:38:18.759015,24790.08922461741,15273.958079063274,40064.04730368069
2025-12-01 18:48:19.731376,19321.998827981264,13510.589228340828,32832.58805632209
2025-12-01 18:48:19.737957,19321.998827981264,13510.589228340828,32832.58805632209
2025-12-01 18:58:20.948207,26569.89960278819,8122.768220315812,34692.667823104006
2025-12-01 18:58:20.955823,26569.89960278819,8122.768220315812,34692.667823104006
2025-12-01 19:08:21.465882,24586.20620664855,9560.468013005286,34146.67421965383
2025-12-01 19:08:21.472845,24586.20620664855,9560.468013005286,34146.67421965383
