ticker,score,total_return,pct_in_range,crosses_per_year,volatility,trend_strength,sr_hits,current_price,avg_volume
KR,60,14.583974213049311,80.0,19.152,26.010754743635527,11.966124312575035,1184,67.55000305175781,7057868.8
WEC,60,13.448622613726968,80.0,19.152,17.01538188148677,19.06716957494541,632,109.33999633789062,2133540.8
MORT,60,7.107483805421233,76.8,9.072,20.62620919226947,7.339037271504137,1676,10.800000190734863,541320.4
CUBE,60,-21.16158286807053,80.0,46.368,24.641935289362678,6.232013573787425,1046,36.939998626708984,1747813.6
CL,60,-15.690562141452013,80.4,14.112,20.970823532476416,14.674009528941992,520,79.94000244140625,5427030.4
D,60,9.849681316893143,80.4,9.072,22.39148194161431,19.207988891719747,940,60.79999923706055,5128780.0
UNG,60,9.582131936168414,45.6,18.144,57.32085601174832,40.78624660067358,334,15.210000038146973,9062923.6
TEF,60,0.9487061098488736,68.8,6.048,25.921146786131878,25.072509071220097,797,4.190000057220459,716013.2
HPE,55,6.056192209808153,40.400000000000006,13.104,46.53904377006646,22.332359175309264,431,21.940000534057617,21791135.704
ECL,55,10.934691586250246,80.0,11.088,20.710271318353463,13.678320892402256,1159,272.8599853515625,1321710.8
FE,55,16.315968683979243,80.4,11.088,20.458722197174847,21.706055309662155,480,46.43000030517578,4568538.4
MKC,55,-13.157064699984,80.0,14.112,23.80821100999854,18.662041394763136,620,66.4000015258789,2350347.6
KO,55,15.563409039873765,76.4,13.104,17.701955814367867,10.383574584092074,1207,71.94999694824219,16916480.8
TU,55,-12.552997777959519,76.4,10.08,19.69213095691105,11.019997589851913,779,12.90999984741211,3793154.4
CMA,50,19.27664327147958,62.8,13.104,34.252513248890594,29.2086304811479,340,80.94000244140625,2148912.8
EXC,50,23.406199571836495,76.0,21.168,18.81452307842278,20.23368202685624,892,45.689998626708984,7152314.4
ES,50,9.65953573437548,77.2,9.072,27.680457739066856,27.86940431612449,357,66.55000305175781,2732814.8
WMT,50,21.564626721522306,76.8,19.152,25.242887332261514,14.43761802484788,718,111.52999877929688,18503370.8
EMN,50,-38.12044180967391,66.8,22.176,40.84619267120668,51.84181771456701,365,61.95000076293945,1665196.8
AMGN,50,25.305784097640615,67.60000000000001,17.136,27.271673564690357,12.980288251118838,789,337.489990234375,2847999.2
IAU,50,60.29322372176231,71.6,23.184,19.365568036900925,45.687432289753495,225,79.80999755859375,8252178.0
GLD,50,60.10104998820365,71.6,23.184,19.487762199230193,45.539089642314714,228,389.75,11450314.8
HPQ,45,-30.367640412238195,64.4,16.128,37.45545877003997,25.46456596775968,618,24.389999389648438,9156822.8
APD,45,-20.294768722364264,74.4,12.096,25.878066882910417,15.402038787160786,667,260.8599853515625,1227018.4
GIS,45,-26.54296983831631,80.4,12.096,22.91299129852945,29.820318043863224,883,47.06999969482422,5607051.6
GILD,45,36.17786689815085,71.2,17.136,27.810243930278762,29.195335773061394,670,124.33000183105469,7838649.2
AEP,45,26.969816278451365,78.4,15.12,19.53780559027288,26.564722289320887,462,120.51000213623047,3451273.2
XLU,45,12.273449717414287,80.4,9.072,16.21605011260741,20.733650190041555,540,88.51000213623047,11052561.6
GSK,45,43.44884390476273,69.6,17.136,28.581658070238884,33.36800739452497,312,47.189998626708984,5059662.8
BP,40,33.500405102428466,71.6,11.088,28.265684432601535,23.048962273140877,608,36.5099983215332,9664724.0
IBM,40,37.89866407762928,57.99999999999999,15.12,30.657976792126114,28.12884425972948,395,305.6700134277344,4784522.0
BMY,40,-13.872862644758953,69.19999999999999,4.032,28.353504936153712,27.10581538703546,885,49.18000030517578,13614980.4
WPC,40,27.24952347922862,75.2,11.088,19.474692929924853,27.482812382419947,958,67.23999786376953,1229564.8
CHD,40,-23.002970749717544,77.60000000000001,10.08,22.00171586999706,25.314933312810528,538,84.58000183105469,2050454.4
DOW,40,-42.26651428765692,64.4,12.096,48.63236221865716,66.7980497127322,340,23.84000015258789,11305794.756
XEL,40,15.699653035148087,78.4,7.056,20.16437703220026,22.586438911447058,671,79.7300033569336,3960664.0
INTC,35,67.19597915291085,48.0,13.104,63.86070982277343,66.61074414812552,159,40.0099983215332,100279596.4
CLX,30,-33.70704571644008,76.0,4.032,22.85568034967843,40.07963755460116,307,106.41000366210938,1697105.2
CFG,30,20.37667570765094,62.8,9.072,32.18223040218845,26.914968423423343,399,54.58000183105469,4613001.172
CSCO,30,31.24838601481923,73.6,5.04,23.6101725523483,26.92544224074488,514,76.04000091552734,20968259.2
JNJ,30,36.70905236278694,78.4,9.072,19.449118385147607,32.87598767927497,306,205.33999633789062,8874592.4
E,30,38.75230071003,76.0,1.008,21.935413532106338,39.565835607994266,567,37.56999969482422,293957.6
NSA,30,-29.926807180125646,79.60000000000001,8.064,28.091507757716805,27.58943098559571,705,29.440000534057617,942059.768
SLV,30,88.98884032932408,66.4,5.04,28.193058734105385,58.686266318783154,156,52.52000045776367,24341888.8
CPB,30,-30.864215306082688,78.4,8.064,27.8174730735941,31.88544280112972,842,30.59000015258789,4613178.8
ABBV,30,28.173572878735964,65.2,5.04,26.0395788593754,28.862114326884157,370,225.11000061035156,6339228.176
NGG,30,24.589330731711236,75.2,3.024,22.877971253845548,30.89219336487415,713,75.6500015258789,789040.0
BTI,30,65.0443326128688,62.8,1.008,21.581583502923063,55.56189846181802,563,58.130001068115234,5109090.0
NVS,30,27.641322751246843,79.2,7.056,21.931044801663447,33.10986826702367,629,128.97000122070312,1766158.8
ETR,30,26.92598753313891,79.60000000000001,9.072,21.592860934628806,25.214897851768093,485,94.58999633789062,3243330.4
CAG,30,-32.106546512689704,74.4,4.032,25.256719390996224,46.74725697229375,658,17.670000076293945,8566522.4
ORCL,25,11.86738747408107,31.6,4.032,60.34295761854979,68.54329176030079,200,200.94000244140625,15498127.2
SAN,25,138.41058740639784,48.8,1.008,33.18861303987099,87.4704808440638,386,10.829999923706055,4824804.4
LYB,25,-37.63813303902018,56.8,8.064,41.37770887984382,50.090353463443236,284,47.91999816894531,4140842.8
LUMN,25,18.598000476427877,36.0,7.056,74.22347068589723,46.53713421476549,93,8.289999961853027,14281504.4
